Samples,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,Watering_Regm
SRR5224833,0.0000000000,0.0000000000,0.0356440227,0.3634417313,0.0010994098,0.2053003125,0.0011572735,0.0559541720,0.0000000000,0.0000000000,0.0000000000,0.0002314547,0.0005207731,0.0118041893,0.0022566833,0.0097210971,0.0009258188,0.0049762759,0.0000000000,0.2751417660,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0318250203,0.0000000000,1
SRR5224834,0.0000000000,0.0001154135,0.1906630504,0.0806740147,0.0003462404,0.1506145767,0.0046165388,0.1981072191,0.0017889088,0.0000000000,0.0000000000,0.0019620290,0.0032315771,0.0802700675,0.0310462231,0.0281031796,0.0038086445,0.0056552600,0.0098101448,0.1571354377,0.0000000000,0.0002885337,0.0000000000,0.0000000000,0.0517629407,0.0000000000,0
SRR5224836,0.0000000000,0.0000000000,0.0307149468,0.0656524757,0.0008676539,0.3037366960,0.0023715872,0.0419944470,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0024294308,0.0054372975,0.0015039334,0.0814437760,0.0000000000,0.0037598334,0.0000000000,0.4408260065,0.0000000000,0.0000000000,0.0002313744,0.0000000000,0.0190305414,0.0000000000,0
SRR5224840,0.0000000000,0.0000000000,0.2354265266,0.0887683251,0.0013852014,0.0993882027,0.0068682904,0.0697795221,0.0000000000,0.0000000000,0.0000000000,0.0023086691,0.0035784370,0.0897495094,0.0443264458,0.0506175690,0.0070991573,0.0193928200,0.0016737851,0.2364654277,0.0000000000,0.0004040171,0.0000000000,0.0000000000,0.0427680942,0.0000000000,0
SRR5224850,0.0000000000,0.0000000000,0.1553414859,0.1841832026,0.0027111214,0.1545916013,0.0009229349,0.0658167974,0.0006922012,0.0000000000,0.0052491924,0.0006922012,0.0027688048,0.0711236733,0.0151707430,0.0234771574,0.0042108906,0.0087678819,0.0013844024,0.2279072450,0.0000000000,0.0001730503,0.0000000000,0.0000000000,0.0748154130,0.0000000000,1
SRR5224853,0.0000000000,0.0000000000,0.2905308051,0.0182698404,0.0035732811,0.1315197971,0.0026511440,0.0131980866,0.0008068699,0.0004610685,0.0000000000,0.0012679384,0.0029393119,0.0436286093,0.0377499856,0.0334851017,0.0077228978,0.0134286208,0.0005763357,0.3444181892,0.0006339692,0.0006916028,0.0000000000,0.0000000000,0.0524465449,0.0000000000,0
SRR5224869,0.0028289360,0.0000000000,0.1817447030,0.1406962646,0.0002886669,0.0863114139,0.0030021361,0.1233762485,0.0030021361,0.0000000000,0.0042145373,0.0008660008,0.0037526702,0.1545522776,0.0240748225,0.0300213614,0.0039836037,0.0056001386,0.0083713411,0.1902892443,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0326770972,0.0003464003,0
SRR5224871,0.0000000000,0.0000000000,0.0788427180,0.0836263040,0.0007492364,0.2392945652,0.0012103049,0.0013255720,0.0000000000,0.0002881678,0.0000000000,0.0000000000,0.0007492364,0.0017866405,0.0001729007,0.0447236471,0.0000000000,0.0004610685,0.0000000000,0.5227364417,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0240331969,0.0000000000,0
SRR5224874,0.0000000000,0.0000000000,0.0332660709,0.3708273278,0.0000000000,0.1549726146,0.0000000000,0.0133179591,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0017296051,0.0058230037,0.0014413376,0.0243297780,0.0000000000,0.0010377630,0.0000000000,0.3808590372,0.0000000000,0.0001729605,0.0000000000,0.0000000000,0.0122225425,0.0000000000,1
SRR5224881,0.0000000000,0.0000000000,0.4295201247,0.0415198937,0.0002887336,0.0740312987,0.0042732575,0.0364381821,0.0012704279,0.0000000000,0.0071028469,0.0050817116,0.0006929607,0.0323381648,0.0584396835,0.0329733788,0.0035225501,0.0151873881,0.0038112837,0.2050008662,0.0003464803,0.0002309869,0.0000000000,0.0000000000,0.0478142865,0.0001154934,0
